trial,timestamp,learning_rate,hidden_dim,num_layers,dropout_rate,max_epochs,test_approximation_rate,val_approximation_rate,test_infeasible_rate,val_infeasible_rate,test_mean_load_factor,val_mean_load_factor,test_loss,val_loss,test_time,val_time
79,2025-09-23T16:11:00.157065,0.001,128,5,0.3,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
80,2025-09-23T16:11:00.237936,0.001,128,5,0.4,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
81,2025-09-23T16:11:00.318781,0.001,128,5,0.4,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
82,2025-09-23T16:11:00.399207,0.001,128,5,0.4,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
83,2025-09-23T16:11:00.480168,0.001,128,5,0.4,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
84,2025-09-23T16:11:00.564820,0.001,128,10,0.2,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
85,2025-09-23T16:11:00.649354,0.001,128,10,0.2,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
86,2025-09-23T16:11:00.733753,0.001,128,10,0.2,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
87,2025-09-23T16:11:00.818589,0.001,128,10,0.2,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
88,2025-09-23T16:11:00.903276,0.001,128,10,0.3,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
89,2025-09-23T16:11:00.987808,0.001,128,10,0.3,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
90,2025-09-23T16:11:01.073462,0.001,128,10,0.3,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
91,2025-09-23T16:11:01.158265,0.001,128,10,0.3,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
92,2025-09-23T16:11:01.242444,0.001,128,10,0.4,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
