trial,timestamp,learning_rate,hidden_dim,num_layers,dropout_rate,test_approximation_rate,val_approximation_rate,test_infeasible_rate,val_infeasible_rate,test_mean_load_factor,val_mean_load_factor,test_loss,val_loss,test_time,val_time
12,2025-09-25T16:49:12.462756,0.001,64,10,0.2,tensor(66.7442),tensor(67.1512),0.0,0.0,tensor(0.4920),tensor(0.4854),0.8349933661520481,0.8350890390574932,8.786743879318237,8.756366491317749
13,2025-09-25T16:55:47.018991,0.001,64,10,0.3,tensor(66.7442),tensor(67.1512),0.0,0.0,tensor(0.4920),tensor(0.4854),0.8349933661520481,0.8350890390574932,8.837466716766357,8.758501052856445
14,2025-09-25T17:02:21.172598,0.001,64,10,0.4,tensor(66.7442),tensor(67.1512),0.0,0.0,tensor(0.4920),tensor(0.4854),0.8349933661520481,0.8350890390574932,8.891388416290283,8.761491537094116
15,2025-09-25T17:10:44.322632,0.001,64,15,0.2,tensor(66.9719),tensor(67.1286),0.0,0.0,tensor(0.4904),tensor(0.4855),0.6444171667098999,0.6447530686855316,9.044867515563965,8.958569049835205
16,2025-09-25T17:19:09.737769,0.001,64,15,0.3,tensor(66.9719),tensor(67.1286),0.0,0.0,tensor(0.4904),tensor(0.4855),0.6444171667098999,0.6447530686855316,9.15984559059143,9.067050457000732
17,2025-09-25T17:27:37.773328,0.001,64,15,0.4,tensor(66.9719),tensor(67.1286),0.0,0.0,tensor(0.4904),tensor(0.4855),0.6444171667098999,0.6447530686855316,9.009569883346558,9.10180401802063
18,2025-09-25T17:33:31.021310,0.001,128,5,0.2,tensor(66.7320),tensor(67.1068),0.0,0.0,tensor(0.4921),tensor(0.4857),0.6588207669556141,0.6591528840363026,8.848849534988403,8.813415765762329
19,2025-09-25T17:39:25.637980,0.001,128,5,0.3,tensor(66.7320),tensor(67.1068),0.0,0.0,tensor(0.4921),tensor(0.4857),0.6588207669556141,0.6591528840363026,8.913496494293213,8.82452392578125
20,2025-09-25T17:45:18.841297,0.001,128,5,0.4,tensor(66.7320),tensor(67.1068),0.0,0.0,tensor(0.4921),tensor(0.4857),0.6588207669556141,0.6591528840363026,8.857949018478394,8.86254096031189
21,2025-09-25T17:54:11.944723,0.001,128,10,0.2,tensor(66.9311),tensor(67.1637),0.0,0.0,tensor(0.4907),tensor(0.4853),0.8649622276425362,0.8649757690727711,9.323850870132446,9.224759817123413
22,2025-09-25T18:03:07.084379,0.001,128,10,0.3,tensor(66.9311),tensor(67.1637),0.0,0.0,tensor(0.4907),tensor(0.4853),0.8649622276425362,0.8649757690727711,9.365314483642578,9.30003547668457
23,2025-09-25T18:12:07.782776,0.001,128,10,0.4,tensor(66.9311),tensor(67.1637),0.0,0.0,tensor(0.4907),tensor(0.4853),0.8649622276425362,0.8649757690727711,9.337576389312744,9.323817729949951
24,2025-09-25T18:24:05.199994,0.001,128,15,0.2,tensor(66.9639),tensor(67.1587),0.0,0.0,tensor(0.4904),tensor(0.4853),0.6688596531748772,0.6691879853606224,9.875847101211548,9.85452675819397
25,2025-09-25T18:36:01.419782,0.001,128,15,0.3,tensor(66.9639),tensor(67.1587),0.0,0.0,tensor(0.4904),tensor(0.4853),0.6688596531748772,0.6691879853606224,9.83802580833435,9.842585802078247
26,2025-09-25T18:47:54.612526,0.001,128,15,0.4,tensor(66.9639),tensor(67.1587),0.0,0.0,tensor(0.4904),tensor(0.4853),0.6688596531748772,0.6691879853606224,9.853706359863281,9.681924104690552
27,2025-09-25T18:51:52.575162,0.01,32,5,0.2,tensor(62.8755),tensor(62.2317),0.0,0.0,tensor(0.5223),tensor(0.5237),0.2724237833172083,0.27229590341448784,8.15134310722351,8.08358907699585
28,2025-09-25T18:55:49.847905,0.01,32,5,0.3,tensor(62.8755),tensor(62.2317),0.0,0.0,tensor(0.5223),tensor(0.5237),0.2724237833172083,0.27229590341448784,8.113115310668945,8.13803505897522
29,2025-09-25T18:59:49.196398,0.01,32,5,0.4,tensor(62.8755),tensor(62.2317),0.0,0.0,tensor(0.5223),tensor(0.5237),0.2724237833172083,0.27229590341448784,8.101314544677734,8.162291765213013
