==================================================
TRAINING/EVALUATION RESULTS
==================================================
Timestamp: 20250901_184535
Mode: reinforcement_learning
Config File: configs/nsfnet_25_commodities_rl.json
Model Hash: unknown

FINAL METRICS:
  Final Train Loss: 0.0000
  Final Train Edge Error: 0.19%
  Final Test Approximation Rate: 84.04%
  Best Test Approximation Rate: 100.00%

TIME METRICS:
  Total Training Time: 4982.86s
  Total Test Time: 465.85s
  Average Training Time per Epoch: 1.56s
  Average Test Time per Epoch: 1.46s
  Training Time per Data: 0.0005s
  Test Time per Data: 0.0045s
  Total Training Samples: 10240000
  Total Test Samples: 102400

==================================================
DETAILED RESULTS
==================================================
Epoch  Train Loss   Edge Error   Train Time   Val Approx   Test Approx 
172    0.0000       0.13         1.55         N/A          94.86%      
173    0.0000       0.09         1.51         N/A          81.60%      
174    0.0000       0.06         1.57         N/A          85.59%      
175    0.0000       0.12         1.53         N/A          76.36%      
176    0.0000       0.15         1.53         N/A          80.59%      
177    0.0000       0.09         1.53         N/A          92.91%      
178    0.0000       0.24         1.53         N/A          76.81%      
179    0.0000       0.15         1.55         N/A          68.94%      
180    0.0001       0.48         1.56         N/A          66.24%      
181    0.0000       0.09         1.54         N/A          99.93%      
182    0.0000       0.11         1.53         N/A          65.43%      
183    0.0000       0.13         1.55         N/A          83.14%      
184    0.0000       0.09         1.52         N/A          57.39%      
185    0.0000       0.12         1.53         N/A          87.54%      
186    0.0000       0.14         1.56         N/A          83.51%      
187    0.0000       0.00         1.55         N/A          69.96%      
188    0.0000       0.13         1.53         N/A          100.00%     
189    0.0000       0.00         1.53         N/A          72.98%      
190    0.0000       0.00         1.50         N/A          78.33%      
191    0.0000       0.09         1.51         N/A          82.87%      
192    0.0000       0.04         1.54         N/A          78.40%      
193    0.0000       0.10         1.59         N/A          74.24%      
194    0.0000       0.05         1.54         N/A          81.10%      
195    0.0000       0.08         1.55         N/A          86.06%      
196    0.0000       0.23         1.56         N/A          86.93%      
197    0.0000       0.17         1.52         N/A          70.10%      
198    0.0000       0.19         1.55         N/A          87.82%      
199    0.0000       0.04         1.51         N/A          92.06%      
200    0.0000       0.12         1.50         N/A          85.02%      
201    0.0000       0.01         1.57         N/A          72.33%      
202    0.0000       0.00         1.54         N/A          83.41%      
203    0.0000       0.10         1.52         N/A          71.49%      
204    0.0000       0.06         1.53         N/A          79.77%      
205    0.0000       0.04         1.50         N/A          91.35%      
206    0.0000       0.13         1.58         N/A          79.21%      
207    0.0000       0.20         1.55         N/A          64.97%      
208    0.0000       0.11         1.53         N/A          84.59%      
209    0.0000       0.15         1.59         N/A          61.04%      
210    0.0000       0.02         1.52         N/A          84.84%      
211    0.0000       0.20         1.57         N/A          80.85%      
212    0.0000       0.19         1.57         N/A          85.46%      
213    0.0000       0.10         1.57         N/A          77.07%      
214    0.0000       0.04         1.57         N/A          76.75%      
215    0.0000       0.19         1.56         N/A          67.97%      
216    0.0000       0.12         1.57         N/A          91.42%      
217    0.0000       0.00         1.51         N/A          78.98%      
218    0.0000       0.12         1.59         N/A          78.11%      
219    0.0000       0.10         1.54         N/A          79.83%      
220    0.0000       0.14         1.53         N/A          84.53%      
221    0.0000       0.36         1.55         N/A          84.00%      
222    0.0000       0.03         1.54         N/A          75.19%      
223    0.0000       0.06         1.54         N/A          68.77%      
224    0.0000       0.07         1.53         N/A          94.14%      
225    0.0000       0.07         1.56         N/A          81.72%      
226    0.0000       0.12         1.56         N/A          83.53%      
227    0.0000       0.08         1.55         N/A          85.78%      
228    0.0000       0.07         1.55         N/A          94.49%      
229    0.0000       0.10         1.58         N/A          81.09%      
230    0.0000       0.02         1.54         N/A          82.90%      
231    0.0000       0.06         1.56         N/A          75.54%      
232    0.0000       0.00         1.52         N/A          79.30%      
233    0.0000       0.00         1.51         N/A          86.08%      
234    0.0000       0.11         1.53         N/A          90.63%      
235    0.0000       0.07         1.52         N/A          74.79%      
236    0.0000       0.06         1.50         N/A          94.71%      
237    0.0000       0.23         1.55         N/A          78.16%      
238    0.0000       0.01         1.56         N/A          93.83%      
239    0.0000       0.08         1.57         N/A          88.48%      
240    0.0000       0.04         1.50         N/A          80.11%      
241    0.0000       0.14         1.57         N/A          91.58%      
242    0.0000       0.22         1.55         N/A          71.44%      
243    0.0000       0.07         1.56         N/A          88.67%      
244    0.0000       0.13         1.55         N/A          81.53%      
245    0.0000       0.08         1.55         N/A          89.80%      
246    0.0000       0.15         1.53         N/A          71.82%      
247    0.0000       0.11         1.57         N/A          84.35%      
248    0.0000       0.13         1.58         N/A          82.18%      
249    0.0000       0.09         1.57         N/A          79.44%      
250    0.0000       0.01         1.57         N/A          62.95%      
251    0.0000       0.22         1.55         N/A          79.21%      
252    0.0000       0.07         1.52         N/A          81.73%      
253    0.0000       0.24         1.55         N/A          82.84%      
254    0.0000       0.07         1.52         N/A          78.22%      
255    0.0000       0.03         1.55         N/A          93.68%      
256    0.0000       0.06         1.58         N/A          76.36%      
257    0.0000       0.06         1.58         N/A          71.06%      
258    0.0000       0.17         1.58         N/A          100.00%     
259    0.0000       0.05         1.57         N/A          85.93%      
260    0.0000       0.07         1.53         N/A          94.76%      
261    0.0000       0.07         1.56         N/A          71.58%      
262    0.0000       0.11         1.53         N/A          78.69%      
263    0.0000       0.18         1.56         N/A          100.00%     
264    0.0000       0.00         1.52         N/A          81.72%      
265    0.0000       0.20         1.55         N/A          81.41%      
266    0.0000       0.14         1.54         N/A          94.35%      
267    0.0000       0.04         1.52         N/A          72.89%      
268    0.0000       0.03         1.52         N/A          77.28%      
269    0.0000       0.29         1.60         N/A          90.29%      
270    0.0000       0.07         1.53         N/A          75.54%      
271    0.0000       0.10         1.54         N/A          81.86%      
272    0.0000       0.31         1.56         N/A          89.79%      
273    0.0000       0.08         1.53         N/A          73.80%      
274    0.0000       0.00         1.48         N/A          83.53%      
275    0.0000       0.27         1.56         N/A          95.72%      
276    0.0000       0.05         1.54         N/A          69.09%      
277    0.0000       0.06         1.52         N/A          80.69%      
278    0.0000       0.22         1.54         N/A          82.64%      
279    0.0000       0.03         1.56         N/A          76.27%      
280    0.0000       0.08         1.52         N/A          84.15%      
281    0.0000       0.00         1.54         N/A          95.70%      
282    0.0000       0.10         1.57         N/A          75.39%      
283    0.0000       0.13         1.53         N/A          80.98%      
284    0.0000       0.11         1.56         N/A          85.58%      
285    0.0000       0.41         1.59         N/A          73.37%      
286    0.0000       0.24         1.58         N/A          85.92%      
287    0.0000       0.06         1.55         N/A          82.54%      
288    0.0000       0.00         1.53         N/A          73.54%      
289    0.0000       0.10         1.59         N/A          87.24%      
